2026-02-02 16:20:19,230 | INFO | SKIP 40_compute_surprise
2026-02-02 16:20:19,230 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:20:49,795 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:20:49,795 | INFO | SKIP 01_save_session
2026-02-02 16:20:49,796 | INFO | RUN  02_capture_document_html
2026-02-02 16:20:57,867 | INFO | RUN  03_extract_from_document
2026-02-02 16:20:58,491 | INFO | RUN  select_events
2026-02-02 16:20:58,696 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:20:58,696 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:20:58,697 | INFO | SKIP 40_compute_surprise
2026-02-02 16:20:58,697 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:21:36,306 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:21:36,307 | INFO | SKIP 01_save_session
2026-02-02 16:21:36,307 | INFO | RUN  02_capture_document_html
2026-02-02 16:21:44,375 | INFO | RUN  03_extract_from_document
2026-02-02 16:21:45,034 | INFO | RUN  select_events
2026-02-02 16:21:45,243 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:21:45,243 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:21:45,244 | INFO | SKIP 40_compute_surprise
2026-02-02 16:21:45,244 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 16:22:20,662 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 16:22:20,663 | INFO | SKIP 01_save_session
2026-02-02 16:22:20,663 | INFO | RUN  02_capture_document_html
2026-02-02 16:22:28,644 | INFO | RUN  03_extract_from_document
2026-02-02 16:22:29,308 | INFO | RUN  select_events
2026-02-02 16:22:29,582 | INFO | SKIP 20_make_risk_windows
2026-02-02 16:22:29,582 | INFO | SKIP 30_refresh_actuals
2026-02-02 16:22:29,582 | INFO | SKIP 40_compute_surprise
2026-02-02 16:22:29,583 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 21:29:03,766 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 21:29:03,767 | INFO | SKIP 01_save_session
2026-02-02 21:29:03,768 | INFO | RUN  02_capture_document_html
2026-02-02 21:29:15,083 | INFO | RUN  03_extract_from_document
2026-02-02 21:29:15,676 | INFO | RUN  select_events
2026-02-02 21:29:15,875 | INFO | SKIP 20_make_risk_windows
2026-02-02 21:29:15,875 | INFO | SKIP 30_refresh_actuals
2026-02-02 21:29:15,876 | INFO | SKIP 40_compute_surprise
2026-02-02 21:29:15,876 | INFO | === CALENDAR PIPELINE END ===
2026-02-02 21:30:59,016 | INFO | === CALENDAR PIPELINE START ===
2026-02-02 21:30:59,016 | INFO | SKIP 01_save_session
2026-02-02 21:30:59,017 | INFO | RUN  02_capture_document_html
2026-02-02 21:31:07,266 | INFO | RUN  03_extract_from_document
